auction,name,artist,year,material,dimention,es_price,fin_price,cover
羅芙奧台北2022秋季拍賣會,我正在聽,大衛・史瑞格里,2020,版畫  49/125,75.5 x 56.2 cm,190000-280000,0,https://ravenel.com//resource/cover/ArtworkCover/782c44cf-9469-4d53-9635-7ce685ee55db
羅芙奧台北2022秋季拍賣會,黃色太陽花; 藍色機器人; 橘色魚; 粉紅鳥(四件一組),塗鴉先生,2019,版畫 77/100 ; 40/100 ; 65/100 ; 65/100,35 x 35 cm (每件),190000-280000,216000,https://ravenel.com//resource/cover/ArtworkCover/7a3ae081-6e22-4f0c-bfc7-392b75f653df
羅芙奧台北2022秋季拍賣會,動植物,趙無極,1951,蝕刻版畫 130/200,50 x 60 cm,130000-220000,144000,https://ravenel.com//resource/cover/ArtworkCover/e9f9bb5e-3817-4f34-bea9-ff6cdabc6318
羅芙奧台北2022秋季拍賣會,無題,趙無極,1957,版畫 60/100; 蝕刻版畫 5/20,32 x 25 cm; 13.8 x 11.9 cm,130000-220000,0,https://ravenel.com//resource/cover/ArtworkCover/9e3467b3-77cc-49ce-95b7-76a3287ed998
羅芙奧台北2022秋季拍賣會,山,朱德群,約1990,版畫 45/80,65 x 50 cm,90000-180000,0,https://ravenel.com//resource/cover/ArtworkCover/dc6274ae-aea1-45f8-8ef0-2ecf7c21df38
羅芙奧台北2022秋季拍賣會,巴塞隆納奧運版畫,朱德群,1992,石版畫 229/250,62.8 x 90 cm,90000-180000,96000,https://ravenel.com//resource/cover/ArtworkCover/f87e6126-88a1-4304-a4d1-a6e00012b7df
羅芙奧台北2022秋季拍賣會,溪,白髮一雄,1990,版畫 限量 60 AP,100.5 x 79 cm,60000-120000,50000,https://ravenel.com//resource/cover/ArtworkCover/bd235db1-9d95-46c2-be3e-2b2277ce0b72
羅芙奧台北2022秋季拍賣會,無題,趙無極,1978,版畫 14/99,50  x 66 cm,80000-160000,108000,https://ravenel.com//resource/cover/ArtworkCover/1c0c041b-01f4-4eff-86ec-45d94a2d9c87
羅芙奧台北2022秋季拍賣會,觀音山,謝孝德,2011,水彩 紙本,79 x 110 cm,30000-60000,36000,https://ravenel.com//resource/cover/ArtworkCover/8a36ebc6-861a-45bb-adf0-94fe68b54b4b
羅芙奧台北2022秋季拍賣會,空桶,小泉悟,2019,樹脂 133 /230,16(長) x 14(寬) x 30(高) cm,60000-100000,0,https://ravenel.com//resource/cover/ArtworkCover/c960ac93-2d7e-4202-8595-839c89a20e44
羅芙奧台北2022秋季拍賣會,粉怪獸,山本麻友香,2021,寶麗石粉樹脂 54/120,18(長) x 14(寬) x 31(高)cm,90000-180000,180000,https://ravenel.com//resource/cover/ArtworkCover/db5a649f-b181-480c-b7e8-36d41766a976
羅芙奧台北2022秋季拍賣會,豹;大象 (兩件一組),大衛・史瑞格里,2021,陶瓷 19/75 (每件),20.2(長) x 16.6(寬) x 21.5(高) cm (大象);12(長) x 11(寬) x 19(高) cm (豹),100000-200000,0,https://ravenel.com//resource/cover/ArtworkCover/49d9bf4c-b6ec-4ec8-b55f-8ee7d41956ea
羅芙奧台北2022秋季拍賣會,神秘月光,羅比‧安托諾,2022,綜合媒材 65/250,26(長) x 20(寬) x 30(高) cm,110000-220000,0,https://ravenel.com//resource/cover/ArtworkCover/73ab20bc-f7f0-4ec8-a10c-2dd7d2e47949
羅芙奧台北2022秋季拍賣會,第一件肖像,阿德里安娜 · 奧利弗,2020,銅 2/5,22(長) x 10(寬) x 25(高) cm,90000-180000,80000,https://ravenel.com//resource/cover/ArtworkCover/f1d12357-ad6e-4f33-867f-2c68646887d1
羅芙奧台北2022秋季拍賣會,Kira(黑),羅比‧安托諾,2021,銅 39/75,26(長) x 23(寬) x 31(高) cm,220000-320000,0,https://ravenel.com//resource/cover/ArtworkCover/9a06dc35-2e0c-4a67-9f62-c6faaa40adba
羅芙奧台北2022秋季拍賣會,樹人(三件一組),平子雄一,2020,陶瓷 34/88; 44/88; 36/88,17.5(長) x 12.5(寬) x 34.5(高) cm,130000-220000,0,https://ravenel.com//resource/cover/ArtworkCover/f54ce92b-8008-4fa4-9bc1-931c3f2d20d1
羅芙奧台北2022秋季拍賣會,人間系列,朱銘,1986,木雕,6(長) x4.3(寬) x22 (高) cm (黃) ; 5 (長) x 4(寬) x 24(高) cm (橘),160000-260000,168000,https://ravenel.com//resource/cover/ArtworkCover/9d3be014-4a0d-48e2-a591-d15a5fc17f27
羅芙奧台北2022秋季拍賣會,三角臉,岩村遠,2021,銅雕 5/12,19 (長) x 17 (寬) x 21.5 (高)cm,300000-400000,480000,https://ravenel.com//resource/cover/ArtworkCover/422ab4c1-71c4-45e9-9d36-4c80b47ef22d
羅芙奧台北2022秋季拍賣會,熱帶果汁;瑪琳娜; 瑪琳娜紫色的早晨; 星期四;  (四件一組),Mr.,2022;2022;2021;2021,"樹脂；限量 100 (瑪琳娜；熱帶果汁；紫色的早
晨；瑪琳娜)；限量 200 (星期四",10(長) x 9(寬) x 27.5(高) cm (瑪琳娜);10(長) x 9(寬) x 27.5(高) cm (熱帶果汁);10(長) x 9(寬) x 27.5(高) cm (紫色的早晨) ;8.5(長) x 8.5(寬) x 29(高) cm (星期四),420000-550000,0,https://ravenel.com//resource/cover/ArtworkCover/578ace11-9544-48ca-a44f-81463016e573
羅芙奧台北2022秋季拍賣會,希望之芽,中村萌,2021,寶麗石粉樹脂 82 /160,21 (長) x 17 (寬) x 20 (高) cm,90000-180000,156000,https://ravenel.com//resource/cover/ArtworkCover/54101e2b-cbd2-43d2-b7b6-8f41eaec7b7d
羅芙奧台北2022秋季拍賣會,進入夢中,中村萌,2021,寶麗石粉樹脂 62 /160,21 (長) x 18 (寬) x 23 (高) cm,90000-180000,108000,https://ravenel.com//resource/cover/ArtworkCover/8f96b06d-e35e-437a-9b53-b9c75942f24a
羅芙奧台北2022秋季拍賣會,三張臉手稿; 三張臉(兩件一組),中村萌,2017,馬克筆 紙；寶麗石粉 樹脂 19/100,20 x 29 cm (手稿)；13(長) x 23(寬) x 3.5(高) cm (雕塑),90000-180000,0,https://ravenel.com//resource/cover/ArtworkCover/e18bb26e-e63b-47f7-8a18-7e612bca888d
羅芙奧台北2022秋季拍賣會,生長M,中村萌,2017,寶麗石粉樹脂 104/130,26.5(長) x 14.5(寬) x 20.5(高) cm,90000-180000,90000,https://ravenel.com//resource/cover/ArtworkCover/a21203c2-b4bf-4fd8-9e94-00e2de8e827e
羅芙奧台北2022秋季拍賣會,富士山,中村萌,2014,寶麗石粉樹脂 56/100,13(長) x 12(寬) x 20(高) cm,90000-180000,90000,https://ravenel.com//resource/cover/ArtworkCover/db378205-3391-4588-96b9-10577b4e0303
羅芙奧台北2022秋季拍賣會,母子筍,中村萌,2018,寶麗石粉樹脂 52/160,15.5(長) x 16(寬) x 21(高) cm;11(長) x 10.2(寬) x 15.5(高) cm,90000-180000,168000,https://ravenel.com//resource/cover/ArtworkCover/b2b2ba9e-9bee-403d-a0a3-134e5131bbff
羅芙奧台北2022秋季拍賣會,雲朵,中村萌,2019,寶麗石粉樹脂 95/160,17(長) x 14(寬) x 29.5(高) cm,100000-200000,144000,https://ravenel.com//resource/cover/ArtworkCover/8e20ddde-5ba1-4725-9001-9a47562a9943
羅芙奧台北2022秋季拍賣會,給我抱抱,中村萌,2018,寶麗石粉樹脂 81/120,17(長) x 15(寬) x 26(高) cm,110000-220000,360000,https://ravenel.com//resource/cover/ArtworkCover/f24dca18-7772-4225-b749-a0b9ff15a6d8
羅芙奧台北2022秋季拍賣會,塗鴉先生 2,塗鴉先生,2022,樹酯 383/500,18 (長) x 15.5(寬) x 36.5 (高),80000-160000,0,https://ravenel.com//resource/cover/ArtworkCover/301ab9d8-244d-4338-be54-910253d9b738
羅芙奧台北2022秋季拍賣會,塗鴉先生,塗鴉先生,2019,樹酯 215/250,17(長) x 17(寬) x 34(高) cm,80000-160000,192000,https://ravenel.com//resource/cover/ArtworkCover/224beed1-af5a-4a9a-8f1a-aad79050d980
羅芙奧台北2022秋季拍賣會,人間系列-彩繪木雕,朱銘,,不飽和聚酯樹脂 碳酸鈣 水性環保礦物顏料 58/300,20(長) x 18(寬) x 16(高) cm,70000-140000,0,https://ravenel.com//resource/cover/ArtworkCover/05d5e428-8a1a-4fbb-8565-e269f65ebfba
羅芙奧台北2022秋季拍賣會,人間系列-彩繪木雕,朱銘,1996,不飽和聚酯樹脂 碳酸鈣 水性環保礦物顏料 216/300,67(長) x 10.5(寬) x 18(高) cm,90000-180000,108000,https://ravenel.com//resource/cover/ArtworkCover/7874bc80-d76e-4e42-8f55-4037b569017b
羅芙奧台北2022秋季拍賣會,人間系列 ─ 排隊,朱銘,2002,鉛錫合金,72(長) x 18.5(寬) x 19.4(高) cm,60000-120000,72000,https://ravenel.com//resource/cover/ArtworkCover/3b5197d4-adb3-4f7c-a441-10a8d8b0edc8
